cate,sj,menu,pric
한식_일반,방곡호프,아롱사태스지전골,25000
한식_일반,진땡이 코다리찜,코다리찜,28000
기타양식,희(hee) 커피,크로플,1500
한식_일반,다스하다,돼지생갈비,10000
한식_일반,돈앤돈,꽃삼겹,7500
기타서비스업,폼나개,전체미용(소형견),30000
한식_일반,국수와보쌈,멸치국수,4000
이미용업,헤어월드포미나,커트,12000
한식_일반,3000냥국밥집,시래기국밥,4000
한식_일반,칠곡보리밥칼국수,보리밥+맛보기칼국수,6500
한식_일반,조영란동래삼계탕,동래삼계탕,17000
이미용업,하나미용실,커트,6000
한식_일반,신봉족발,족발(1kg),15000
기타서비스업,동신컴퓨터(솔루션),리퍼컴퓨터(최고가),300000
한식_일반,봉봉분식,된장찌개,6000
한식_일반,짜루면옥,칼국수,4000
한식_기타,광화식품,국산 순두부 600g,3500
양식,피자여신,페퍼로니폭탄피자(1인),8900
한식_면류,망미생생국수,잔치국수,5500
한식_일반,안리무스,충무김밥,7000
한식_육류,남천돈,제주특수모듬(400g),27000
한식_기타,철이네떡공장,영양찰떡(1되),34000
기타양식,올선데이 광안점,아메리카노,1500
한식_분식,분식타운,순대국,4900
한식_기타,옛날통닭,통닭,8000
이미용업,나이스맨,남성커트,5000
한식_일반,오미자밀면,물밀면+돈가스,7000
중식,동천홍,자장면,4000
한식_일반,순이네,정식,7000
양식,충렬함박,충렬함박,6900
한식_일반,장수쌈밥,간장불고기 쌈밥,10000
한식_면류,이수밀면,물밀면,7500
이미용업,맨커트샵,남자커트,6000
한식_면류,맛나손칼국수,칼국수,5000
한식_면류,손가네칼국수,칼국수,6000
한식_일반,한마음이모집,김밥,2500
한식_일반,훈훈카츠 훈훈김밥,김밥,3000
한식_일반,고향솥밥,김치찌개+솥밥,9500
이미용업,이레헤어샵,커트,10000
일식,뉴욕스시,초밥세트,13000
한식_일반,장수삼계탕,삼계탕,12000
한식_일반,참시원한대구탕,대구탕,13000
목욕업,대륙탕,목욕 대인,6000
중식,학마을,짜장면,3500
이미용업,남포이발컷트,커트,6000
한식_일반,황소식당,부대찌개,7000
중식,중국관,자장면,5000
한식_면류,시골칼국수,칼국수,5000
한식_분식,깡통골목할매 유부전골 본점,유부전골,6000
한식_일반,두래박,수제돈가스,9000
한식_일반,똑순이네뚝배기(똑뚜기),순두부찌개,8000
중식,금화루,짜장면,3000
한식_일반,한우어때,한우암소 등심(100g),12000
중식,첸,짜장면,4000
기타서비스업,대육자동차정비,자동차배터리(80L),99000
한식_일반,영일삼계탕,한방삼계탕,13000
세탁업,대저기계세탁소,정장한벌,8000
이미용업,육일미용실,커트,5000
이미용업,골드헤어라인,커트,8000
이미용업,가위소리미용실,컷트,6000
한식_면류,일이삼칼국수,국수,5000
기타양식,메이크씨(MAKESEA),아메리카노,1500
한식_육류,국제갈비,돼지갈비1인분(300g),12000
한식_일반,히미쎈장어 꼼장어,꼼장어구이 1인분,21000
한식_기타,여니네,김밥,3000
한식_기타,반도분식,김밥,3000
한식_일반,수향아구찜,생아구찜(소),35000
이미용업,김민서 헤어포스,남자커트,10000
한식_일반,대패한상,한상대패,3900
한식_일반,양가손만두 부전시장점,고기찐만두(10개),6000
한식_일반,삼한우사골곰탕,소머리곰탕,8000
한식_일반,부전시장왕뽈떼기,대구뽈탕,5000
일식,킹콩스시,모듬초밥 (12p),13000
이미용업,가위스토리,커트(남),10000
이미용업,양지미용실,커트,6000
한식_일반,두보완당,완당,7500
이미용업,핑크헤어,커트,9000
한식_일반,다다생모밀,생모밀,4000
이미용업,JJ남성커트전문점,커트,10000
기타서비스업,(주)송현 광안점,엔진오일 (국산중형),55000
기타서비스업,하오르모터스 민락점,엔진오일 (국산중형),55000
한식_일반,송주네김밥,"일반/땡초김밥, 유부초밥",2000
이미용업,윤아헤어샵,펌,35000
이미용업,영헤어,커트,13000
한식_일반,소나무돼지갈비,닭육개장,6000
이미용업,댕기머리방,파마,20000
한식_면류,오일장 멸치국수,밀면,6000
한식_육류,만덕고깃집,삼겹살100g,6500
한식_면류,풍성한칼국수,바지락칼국수,6000
한식_일반,햇살돌솥밥,솥밥,8000
이미용업,정성희칼라공간,일반펌,40000
이미용업,머리치장,커트,10000
한식_일반,국제하이포크,오징어두루치기,7000
한식_육류,초량화진갈비삼겹살,대패삼겹살(90g),2500
한식_일반,옛날한우곰탕,곰탕,8000
한식_면류,영도할매국수/과일,국수 무한리필,6000
한식_면류,동방밀면,밀면,7000
한식_일반,동규분식,떡볶이,5000
한식_육류,대성식육식당,한우모듬(400g),58000
한식_일반,국수랑샤브랑,샤브샤브(소고기),12000
기타서비스업,원당구장,이용료(10분),1500
기타서비스업,공감사진관,증명사진/여권,14000
이미용업,헤어코롱미용실,커트성인,8000
한식_육류,합천왕갈비,왕갈비150g,8000
한식_면류,신가야밀면,물밀면,8000
이미용업,더멋진이발관,커트,7000
한식_기타,옛날 팥빙수,팥빙수,4000
한식_일반,다보랑 김밥분식,김밥,2500
한식_면류,엄마손팥칼국수,팥칼국수,8000
한식_일반,논두렁,야채만두,9000
이미용업,가인헤어아트,커트,7000
한식_일반,부잣집밀면,물밀면,6000
한식_일반,초원곰탕,곰탕(경로우대),7000
세탁업,창진세탁,양복 상하,6000
기타양식,온타임,아메리카노,1500
중식,옛날짜장,짜장면,2500
이미용업,굿맨헤어,컷트,11000
한식_일반,부전소머리곰탕,소머리곰탕,8500
한식_일반,삼삼오오,동태탕,8000
한식_일반,장고방,황태구이,10000
한식_일반,황금이네,국수,4500
한식_기타,동두천부대찌개,부대찌개,8000
이미용업,미짱헤어,컷트,15000
한식_일반,정담칼국수,칼국수,6000
한식_기타,대박분식,김밥,2000
한식_일반,엄마국수,부추수제비,5500
한식_일반,연동본가해장국,선지국밥,6000
한식_육류,아우미돈가스,로스까스,7000
한식_육류,민수네집,백반,7000
한식_일반,미를담다&미담삼계탕,활전복 한방 삼계탕,15000
한식_일반,진미국수,순두부찌개,6000
중식,석기시대,찐만두,6000
한식_일반,급행,밀면,6000
한식_일반,앤스토리,아귀탕(점심),12000
기타양식,퍼짱,양지곰탕,8000
한식_일반,기와집,된장찌개,7000
한식_일반,자연분식소문난손칼국수,칼국수,5000
이미용업,모완10(칼라피플)헤어뷰티,커트,12000
일식,아케스시,초밥8&데마끼,10000
세탁업,류박사종합세탁,양복,6000
한식_면류,들깨나루,들깨칼국수,7000
중식,수타중국관,짜장면,4000
이미용업,경아헤어샵,커트,10000
한식_일반,국수나라,김밥,2500
기타양식,김현태베이커리,팥빵,1000
한식_육류,연산숯불갈비청국장뚝배기,청국장,8000
한식_일반,맛있어요,만두볶이,4000
기타서비스업,태양전지,차량용 GB 배터리,50000
한식_일반,우성숯불갈비,생삼겹살,10000
한식_일반,팔팔대패,대패삼겹,4900
한식_면류,엄마손칼국수,칼국수,6000
한식_일반,은혜식당,된장찌개,8000
이미용업,남성컷트,커트,8000
이미용업,본미용실,커트,8000
한식_일반,너와집,칼국수,6000
한식_일반,아치한상,정식,7000
한식_일반,도날드즉석떡복기,떡볶이 1인,3000
목욕업,장수탕,목욕 대인,8000
한식_일반,가야포차,수구레국밥,8000
한식_일반,연창돼지국밥,돼지국밥,8000
한식_육류,고기밥상,된장찌개정식,8000
한식_일반,양푼이국수,양푼이국수,5000
한식_일반,반송낙지,낙지볶음,10000
기타서비스업,체스보드게임,1시간(후불),2400
기타서비스업,맥스리뷰,"명함(일반,단면)",7700
양식,펠로,마르게리따,8900
한식_면류,생생모밀,생모밀/막국수/우동/칼국수,4000
기타서비스업,냉정실내운전연습장,장내+도로(2종),220000
이미용업,가온미용실,남성커트,6000
이미용업,훈이용원,커트,10000
한식_찌개류,진영소머리곰국,소머리곰국(일반),8000
기타양식,카렘제과,맘모스빵,5000
이미용업,안젤라헤어필,커트,10000
중식,띵호짜장띵호,짜장면,4000
한식_면류,만나웰빙맛집,국수,5000
일식,스시몬(몬스시),참치+연어(리필/1인),18000
한식_면류,소문난손칼국수,손칼국수,5000
한식_일반,기토식당,선짓국,7000
한식_일반,풍각고향육개장,육개장,8000
이미용업,수화헤어,커트,10000
일식,물레수산횟집,회비빔밥,10000
한식_일반,하동돼지국밥,돼지국밥,8000
한식_육류,거창숯불구이,한우등심(100g),11000
한식_면류,원조기장손칼국수,손칼국수,6000
이미용업,순영헤어샵,커트,10000
이미용업,김머리방,커트,7000
중식,명성짜장,짬뽕,4500
일식,생~생모밀,비빔모밀,3000
한식_일반,우돈정,청소년할인(초등학생),4000
한식_일반,순돌이보리밥,찌짐,7000
한식_육류,하동집,돼지고기(150g),9000
한식_육류,옛날집 숯불고기,돼지갈비(200g),10000
한식_일반,알밥덮밥 전문점(My Place),고기간장계란밥+찌개,6500
한식_면류,두근두근 주먹밥,"면요리(우동, 국수)",5000
한식_일반,정다옥설렁탕,설렁탕,10000
기타서비스업,해변당구장,당구비 작은대대(10분당),1500
세탁업,크린하우스,정장 1벌 드리아,5000
한식_일반,비빔밥멸치국수,김밥,3000
중식,후차이,짜장면,6000
한식_일반,진주네,회덮밥,4500
한식_일반,오륙도낙지,낙지볶음,10000
한식_일반,삼락하동재첩국,재첩국,8000
한식_면류,이상재 함흥냉면,밀면,7000
한식_일반,쌍둥이네 보리밥,보리밥,7000
한식_일반,두메골 청국장,청국장,9000
한식_일반,서울설렁탕,(양지)설렁탕,8000
한식_일반,팔도족발,족발(소),17000
한식_일반,통발장어,장어구이정식,11000
중식,짬뽕땡기는날,짜장면,5000
한식_일반,나라소머리곰탕,곰탕,8000
한식_면류,회국수할매집,회국수,7000
이미용업,김도형남성컷,커트,8000
한식_분식,김밥마을,김밥,2200
이미용업,남자머리,남성 커트,9000
한식_한정식,진수성,곰탕,10000
한식_일반,하진식당,된장찌개+돈까스,8000
한식_면류,봉평신조막국수,막국수,7500
한식_면류,부산밀면,물밀면,6000
한식_일반,화반 부민1호점,비빔밥+김치찌개,8500
한식_일반,착한가게,시락국,5000
한식_육류,남강숯불갈비,된장찌개,7000
한식_일반,아늑한 식당,김치찌개,7000
한식_일반,부원돼지국밥,돼지국밥,8000
한식_일반,행복순두부,순두부,6000
이미용업,미나헤어,드라이,6000
기타양식,데일리 팡,소보로빵,900
이미용업,두발할인점,컷트(일반),6000
이미용업,명작미용실,파마,22000
한식_일반,정아밀면돼지국밥,밀면,6000
한식_일반,풍전칼국수,추어탕,9000
한식_일반,수림,돌솥우동,7000
한식_일반,아침N김밥,충무김밥,6500
한식_육류,대갓집,생삼겹(150g),8000
한식_육류,제주암돼지 왕소금구이,암돼지오겹살(120g),9900
한식_일반,일미정,한정식,10000
한식_일반,장원돼지국밥,돼지국밥,8000
한식_일반,원앙분식,충무김밥,6500
한식_일반,미락정,된장찌개,9000
양식,쇠가리수제돈까스,수제돈까스,8000
한식_일반,부성식당,정식,8000
한식_일반,초량낙지볶음,낙지볶음,9000
중식,자유관,자장면,6000
한식_일반,양푼이동태백반,동태백반,8000
한식_일반,문출래된장,차돌박이 된장찌개,9000
한식_일반,초량영동밀면,물밀면,6000
중식,모리향,짜장면,5500
한식_육류,유식당,냉동삼겹살(100g),4500
기타양식,더커피,에이드,3000
기타양식,윤카페,아메리카노,1000
한식_일반,밀양콩나물해장국,콩나물해장국,5000
이미용업,김혜선미용실,커트,10000
한식_일반,부광식당,백반/덮밥류,6500
한식_일반,유식당,대패삼겹살(1인분),3000
이미용업,영미용실,커트,7000
이미용업,까꼬뽀꼬,커트,6000
한식_일반,편식,자장면,4000
양식,명품수제왕돈까스,왕돈까스,8000
한식_일반,오리가,순두부,8000
한식_면류,만복밀면,밀면,7000
중식,웁스차이나,짜장면,5000
이미용업,달팽이미용실,커트,7000
기타서비스업,맘씨생활건강,세탁비누,2000
한식_육류,돈갈비,돼지갈비(200g),10000
한식_일반,강릉식당,정식,7000
한식_일반,통도야지김치전골,김치전골,8000
한식_일반,어미당,아구찜 소,30000
한식_일반,장미돼지국밥,국밥,7000
이미용업,모아미용실,파마,30000
한식_육류,꿀꿀이왕국,돼지갈비(250g),7000
이미용업,선헤어클럽,파마,30000
한식_일반,동해옥,순대국밥,9000
한식_일반,가야포차선지국밥,선지국밥,7000
한식_면류,서울칼국수,칼국수,3000
한식_일반,고향솥밥,솥밥+순두부,10000
한식_면류,함흥면옥,설렁탕,8000
한식_일반,민속집,오리백숙,50000
한식_면류,연제왕칼국수,왕칼국수(만두포함),7000
한식_육류,맑은생고기식육식당,삼겹살(120g),8000
한식_면류,광화냉면,냉면,8000
한식_일반,3678통장어,장어탕,8000
기타서비스업,송도대림볼링센터,게임비,3700
한식_일반,명문김밥,원조김밥,2000
한식_일반,민아식당,따로국밥,8000
목욕업,천지탕,대인,6000
이미용업,성화미용실,커트,10000
한식_일반,정원식당,뼈다귀해장국,8000
한식_일반,행복한오리,점심특선,9000
양식,탱크돈까스,탱크돈까스,7500
한식_일반,쭈꾸미국민삼겹,통마리대패100g,4900
한식_일반,기장가마솥추어탕,추어탕정식(추어탕+돌솥밥),9000
한식_육류,얼쑤대박터지는집,대패삼겹살(90g),3900
한식_일반,송림시골밥상,시골밥상,8000
한식_일반,보리고개,보리밥뷔페,6000
기타서비스업,파레토네 제과점,소보루(2개),1800
한식_육류,삼우정숯불갈비,된장찌개,7000
한식_육류,시골솥단지삼겹살,된장찌개,7000
중식,문화관,자장면,5000
한식_분식,로뎀국수칼국수,국수,4000
한식_기타,오대양횟집,회덮밥,8000
한식_육류,행복한오리,생오리,25000
한식_일반,금호식당,까치복국,12000
한식_일반,송도추어탕,어탕국수,8000
숙박업,아비숑모텔,숙박,40000
목욕업,대영탕,대인,7000
세탁업,동광세탁소,바지,4000
한식_일반,바보면가,손칼국수+돈까스,6000
이미용업,사랑방미용실,커트,5000
한식_육류,부산양곱창,특양구이(400g),40000
한식_일반,오양수산장어구이센터,장어구이(1kg),42000
한식_일반,조선국밥,돼지국밥,9000
한식_일반,이가야,호박죽,5000
한식_일반,양가손만두,잔치국수,6000
한식_일반,충만꼬마김밥,꼬마김밥,3000
한식_일반,미소정멸치국수,멸치국수,4000
이미용업,류헤어,커트,6000
한식_일반,남천식육식당,소고기국밥(점심특선),6000
한식_육류,포항숯불갈비,돼지갈비(200g),9000
기타서비스업,유진모터스,엔진오일교환(중형차),70000
한식_육류,보거스고깃집,국내산삼겹살(120g),8000
한식_일반,평사리순두부,순두부찌개,8000
한식_육류,삼우정식당,삼겹살150g,8000
기타서비스업,책임밧데리,밧데리80L,85000
이미용업,이주연헤어샵,커트,8000
중식,신기루,짜장면,4000
한식_일반,헬로갈비,돼지갈비(300g),12000
한식_일반,도랑가마솥추어탕,추어탕,9000
한식_면류,홍천손칼국수,칼국수,4000
양식,돈까스일번지,등심돈까스,6000
중식,북구반점,짜장면,5000
이미용업,양지미용실,커트,10000
이미용업,헤어톡,커트,12000
이미용업,헤어스케치,커트,10000
중식,만복관,자장면,4000
이미용업,경희헤어 ,퍼머,35000
한식_기타,먹을래싸갈래,도너츠,800
한식_육류,미남숯불구이,양념갈비200g,10000
목욕업,청암탕,목욕료(성인),7000
한식_일반,원조본가산곰장어,장어탕,7000
이미용업,선우이용원,커트,7000
이미용업,헤어드림,커트,15000
일식,에끼카레,에끼카레,7000
한식_일반,양가 손만두 큰아들점,라면,3000
한식_일반,문화복국,은복,8000
한식_일반,영도해장국집,선짓국,5000
한식_육류,부산갈매기,삼겹살(120g),9000
이미용업,아아이용원,커트,8000
이미용업,대성이용원,커트,8000
한식_육류,외양간혜림,등심(100g),25000
이미용업,희망이용원,커트,5000
한식_육류,미조뒷고기,뒷고기(400g),14000
중식,유니짜장,짜장면,5000
이미용업,까꼬뽀꼬,컷트,6000
기타양식,해피토스트,계란토스트,2000
중식,청춘탕수육,짜장면,5000
한식_면류,마산손팥칼국수,팥칼국수,5000
한식_일반,뚜레박,청국장,6000
일식,미가도횟집,회초밥,13000
한식_찌개류,산에산에,물국수,5000
한식_기타,밥을 짓다,한식뷔페,7000
한식_일반,평강오리,오리불고기(국산 한마리),34000
이미용업,헤어팡,커트,10000
목욕업,아주탕,대인,7500
중식,옛날짜장,자장면,6000
이미용업,헤어홀릭,커트,10000
이미용업,럭키투미용실,커트,8000
기타양식,마들렌과자점,단팥빵,1300
세탁업,백송세탁소,와이셔츠,2500
목욕업,낙원탕,"성인, 학생",8000
이미용업,꿀벌미용실,파마,30000
중식,화랑찜닭,화랑찜닭(중),20000
중식,짜자장,짜장면,5000
한식_일반,전주명품콩나물국밥,콩나물국밥,5500
한식_일반,영주복국,은복,10000
한식_육류,동주숯불구이막국수,생오겹살(100g),7000
중식,남경,짜장면,4000
한식_기타,하동녹차팥빙수,팥빙수,5800
한식_찌개류,최가국밥,돼지국밥,7000
기타양식,카페두콩,아메리카노,2500
기타양식,카페 콩자루,카페라떼,3000
한식_일반,하림오리마을,오리불고기정식,8000
한식_면류,미남칼국수,손칼국수,7000
한식_일반,여수식당,김치찌개,8000
한식_육류,뒷통구이,뒷통구이100g,7500
한식_육류,초량화성갈비,김치찌개,7000
숙박업,동래온천호텔,"숙박료(주중,일)",22000
한식_면류,옥이네 밀면 칼국수,물밀면,6000
한식_일반,미락,된장찌개,5000
한식_일반,삼거리식당,돼지국밥,7500
한식_면류,장터 손칼국수,김밥,3000
한식_일반,왕밀냉면,수제돈까스,8000
한식_일반,촌국수정식,간장게장정식,7000
한식_일반,유리네항아리수제비,황태해장국,6000
한식_면류,원조개성손만두유황오리,만둣국+밥,8000
숙박업,호텔오마이,숙박,40000
이미용업,MAN(남성컷전문),커트,6000
이미용업,도리오헤어,커트,10000
세탁업,하나둘세탁,양복1벌,7000
일식,풍미회초밥,회정식,15000
한식_육류,멧집찌개,찌개백반류,8000
한식_일반,평양냉면,불고기정식,9000
한식_분식,김밥하우스,김밥(1줄),2500
한식_면류,대한손칼국수,칼국수,5500
중식,산동반점,자장면,6000
한식_일반,부림생오리,생오리불고기정식(점심특선),8000
기타양식,옌닌쌀국수,해산물쌀국수,7000
한식_육류,왕호돌왕갈비,국내산왕갈비,9800
한식_면류,또와손칼국수,칼국수,5500
중식,천일각,자장면,4000
세탁업,동양세탁,세탁료(양복1벌),6500
한식_일반,시장통 칼국수,칼국수,4500
이미용업,역전이용원,커트,8000
이미용업,꽃샘미용실,커트,10000
기타양식,규문당과자점,단팥빵,1500
기타양식,파네토네과자점,마카롱,1100
한식_면류,다다생모밀,생모밀,3000
한식_면류,오.별난멸치국수,열무국수,7000
중식,홍복,유니짜장,4000
한식_일반,서울집,소곱창전골,11000
한식_일반,봉이칼국수,옛맛칼국수,6000
한식_일반,등마루식당,정식,7000
중식,행복한 칼짜장,짜장면,4500
한식_일반,동경식당,추어탕,10000
한식_일반,단골식당,묵은지김치전골,8000
한식_기타,밥만퍼반찬,국,3000
한식_육류,오복식육식당,삼겹살(100g),7000
한식_육류,참숯마을,제육,8000
한식_일반,우정,돌솥비빔밥,6500
기타양식,착한가격착한빵집쉐프윤,팥빵,700
한식_일반,미포낙지,낙지,8000
한식_일반,남보현 국수집,국수,5000
한식_일반,개미식당,돼지국밥,6000
기타서비스업,아인당구장,게임료(10분),1000
한식_육류,소떼숯불소늑간살,돼지갈비(150g),9000
이미용업,777헤어샵,커트(남),10000
한식_일반,시골집,김치찌개,7000
양식,돈까스로,등심돈까스,7000
한식_일반,삼세랑,가정식 도시락,10000
이미용업,헤어짱,파마,28000
이미용업,젠틀맨,남성커트,7000
한식_한정식,한우리밥집,정식,6000
한식_일반,실안장어구이,장어구이(1kg),39000
한식_일반,태평양숯불갈비,갈비탕,7500
이미용업,맨투맨,커트,7000
한식_일반,다미복국,은복,12000
한식_일반,꼬꼬삼계탕,삼계탕,11000
한식_면류,자유손칼국수,칼국수,5000
이미용업,헤어클리닉 J&J,커트,5000
한식_일반,장어이야기,장어탕,8000
이미용업,까까머리,커트,7000
한식_일반,가마솥생복집,은복,13000
한식_일반,소향갈비탕,갈비탕,10000
한식_일반,장터국밥,소고기국밥,6000
세탁업,서민세탁소,와이셔츠,3000
이미용업,정화미용실,커트,8000
이미용업,정지수헤어가이드,커트(남),8000
이미용업,정원이용원,커트,10000
한식_일반,대교식당,된장찌개,6000
한식_일반,남선식당,순두부찌개,6000
이미용업,용두산이용원,커트,5000
